name	id	iso3166_1_alpha2	iso3166_1_shortname	fips10_4	capital	fifa_code	iso_numeric	iso_alpha_3	administrative_divisions	currency_used	official_language	gdp_nominal	gdp_nominal_per_capita	internet_tld	languages_spoken	form_of_government	national_anthem	currency_formerly_used	calling_code
Iran	/m/03shp		"IRAN, ISLAMIC REPUBLIC OF"	IR	Tehran				Chaharmahal and Bakhtiari Province,Khūzestān Province,South Khorasan Province,Hamadān Province,Lorestān Province,Hormozgān Province,Markazi Province,Semnān Province,Kurdistan Province,Bushehr Province,Osku County,North Khorasan Province,Sistan and Baluchistan Province,Yazd Province,Kermanshah Province,Qom Province,Māzandarān Province,Qazvīn Province,Zanjan Province,Eşfahān Province,Razavi Khorasan Province,Tehrān Province,East Azarbaijan Province,Golestān Province,Khorasan,Kohgiluyeh and Buyer Ahmad Province,Fārs Province,Ardabīl Province,Kermān Province,West Azarbaijan Province,Gīlān Province,Īlām Province	Iranian rial	Gilaki Language,Kurdish language,Caspian languages,Mazanderani Language,Azerbaijani language,Persian Language			ir	Persian Language	Theocracy,Islamic republic,Dictatorship			98
Uruguay	/m/07twz		URUGUAY	UY	Montevideo				Durazno Department,Tacuarembó Department,Florida Department,Treinta y Tres Department,Soriano Department,Rocha Department,Montevideo Department,Rivera Department,Artigas Department,Canelones Department,Flores Department,Río Negro Department,Salto Department,Paysandú Department,Maldonado Department,San José Department,Lavalleja Department,Colonia Department,Cerro Largo Department	Uruguayan peso	Spanish Language,Riverense Portuñol language			uy	Spanish Language	Presidential system,Republic	/m/0d9dz_j		598
Serbia and Montenegro	/m/06swt				Belgrade						Serbian language,Serbo-Croatian				Serbian language,Hungarian,Serbo-Croatian,Bosnian language,Albanian language	Federation,Confederation	/m/0bf4q7q	German mark,Euro,Yugoslav dinar	
Belarus	/m/0163v		BELARUS	BO	Minsk				Minsk Province,Homiel Voblast,Vitsebsk Voblast,Brest Voblast,Hrodna Voblast	Belarusian ruble	Belarusian language,Russian Language			by	Russian Language	Dictatorship,Presidential system			
Republic of Macedonia	/m/0bjv6		"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF"	MK	Skopje				Brvenica municipality,Mogila municipality,Karbinci municipality,Šuto Orizari municipality,Zajas municipality,Rankovce municipality,Resen municipality,Debar,Sopotnica,Petrovec municipality,Veles,Dojran municipality,Gevgelija,Kratovo,Novaci municipality,Tetovo,Tearce municipality,Vinica,Jegunovce,Vitolište,Vratnica,Saraj municipality,Bogdanci,Štip,Struga,Zletovo,Berovo,Makedonska Kamenica,Ohrid,Negotino,Strumica,Aračinovo municipality,Oslomej municipality,Rosoman municipality,Bosilovo municipality,Krivogastani,Kisela Voda municipality,Kamenjane,Miravci,Ilinden municipality,Sveti Nikole municipality,Makedonski Brod,Kosel,Bogovinje municipality,Zrnovci municipality,Bitola,Prilep,Radoviš,Kumanovo,Zelenikovo municipality,Lipkovo municipality,Dolneni municipality,Valandovo,Kukurečani,Kruševo,Capari,Demir Hisar,Gostivar,Kavadarci,Vasilevo municipality,Plasnica municipality,Kriva Palanka,Gradsko,Novo Selo municipality,Probištip,Drugovo municipality,Lozovo municipality,Demir Kapija	Macedonian denar	Macedonian Language,Romani language,Serbian language,Romanian, Macedo Language,Turkish Language,Albanian language			mk	Torlakian	Parliamentary republic			
Uganda	/m/07tp2		UGANDA	UG	Kampala				Kumi District,Mpigi District,Kotido District,Masindi,Kalangala District,Bundibugyo District,Bushenyi District,Nakapiripirit District,Kitgum District,Mbarara,Kabarole District,Mbale District,Katakwi District,Nakasongola District,Apac District,Pallisa District,Tororo District,Yumbe District,Jinja District,Sembabule District,Mubende District,Moyo District,Bunyoro,Mukono District,Kanungu District,Rakai District,Gulu District,Iganga District,Wakiso District,Ntungamo District,Mayuge District,Soroti District,Pader District,Kiboga District,Kamuli District,Masaka District,Busia District,Kaberamaido District,Lira,Arua District,Sironko District,Nebbi District,Kapchorwa District,Kibaale District,Kisoro,Kasese,Rukungiri District,Hoima District,Kayunga District,Kyenjojo,Moroto District,Adjumani District,Bugiri District,Kamwenge District,Kampala District,Kabale District,Luwero District	Ugandan shilling,East African shilling	English Language,Swahili Language			ug	English Language,Swahili Language	Republic,Democracy			
Republic of the South Moluccas	/m/0809tnt				Ambon City											Government in exile			
United Kingdom	/m/07ssc		UNITED KINGDOM	UK	London				Anguilla,Tameside,London Borough of Lewisham,Banbridge,Manchester,North Lincolnshire,Northern Ireland,London Borough of Waltham Forest,Derbyshire,Angus,London Borough of Newham,Metropolitan Borough of Dudley,Royal Borough of Windsor and Maidenhead,County Down,Gibraltar,Poole,Nottinghamshire,London Borough of Wandsworth,London Borough of Croydon,Sefton,Torfaen,Montserrat,Metropolitan Borough of Rotherham,West Yorkshire,Kirklees,Metropolitan Borough of Stockport,London Borough of Barnet,Trafford,Larne,London Borough of Bexley,London Borough of Hillingdon,Northumberland,Cookstown District Council,Oxford,Newtownabbey,Luton,Blackburn with Darwen,Reading,Caerphilly,Middlesbrough,Norfolk,Oxfordshire,South Oxfordshire,County Durham,Scotland,South Ayrshire,London Borough of Haringey,Plymouth,Pembrokeshire,London Borough of Southwark,Derry,Shetland Islands,Omagh,Portsmouth,Nottingham,Cheshire,North Down Borough Council,Kent,South Georgia and the South Sandwich Islands,Leicester,London Borough of Redbridge,North Yorkshire,South Tyneside,Warwickshire,Woking,Moyle District Council,Lisburn,Metropolitan Borough of Walsall,London Borough of Islington,Belfast,West Lothian,Aberdeenshire,England,Cumbria,Staffordshire,Cardiff,London Borough of Camden,Armagh,Billericay,Turks and Caicos Islands,London Borough of Tower Hamlets,Carrickfergus,Wiltshire,Denbighshire,Milton Keynes,City of Wakefield,North Somerset,Buckinghamshire,Metropolitan Borough of Gateshead,Southampton,Metropolitan Borough of Wirral,North Tyneside,Fife,Midlothian,London Borough of Havering,Kingston upon Hull,East Dunbartonshire,Metropolitan Borough of Bury,Borehamwood,Redcar and Cleveland,East Sussex,Renfrewshire,Vale of Glamorgan,Calderdale,Peterborough,Sheffield,Royal Borough of Kingston upon Thames,Leicestershire,Rutland,London Borough of Bromley,Slough,Metropolitan Borough of Barnsley,Isle of Wight,Herm,Alderley Edge,Suffolk,Merthyr Tydfil,Magherafelt,Inverclyde,London Borough of Enfield,Glasgow,Essex,Blackpool,Dundee,Blaenau Gwent,Ards Borough Council,Wolverhampton,Neath Port Talbot,Pitcairn Islands,Bradford,Stockton-on-Tees,Ballymoney,London Borough of Hackney,Halton,Bracknell Forest,Darlington,Cookstown,Herefordshire,Coleraine,Perth and Kinross,Rhondda Cynon Taff,North East Lincolnshire,County Londonderry,Isle of Man,Dumfries and Galloway,Swansea,Metropolitan Borough of Bolton,Metropolitan Borough of Rochdale,Telford and Wrekin,Lincolnshire,Jersey,Bridgend,City of Salford,Gwynedd,Falkirk,East Riding of Yorkshire,Newport,Comberton,Channel Islands,Clackmannanshire,Metropolitan Borough of St Helens,Cornwall,Down,Flintshire,Southend-on-Sea,Somerset,Worcestershire,Torbay,Shropshire,Aberdeen,Conwy,Highland,Edinburgh,Dungannon and South Tyrone Borough Council,Metropolitan Borough of Solihull,Dorset,Bournemouth,Warrington,Gloucestershire,Metropolitan Borough of Doncaster,Powys,Newcastle upon Tyne,London Borough of Hounslow,Orkney Islands,Devon,Strabane,London Borough of Merton,Great Warford,City of Westminster,Metropolitan Borough of Oldham,Fermanagh District Council,London Borough of Greenwich,Sandwell,Cambridgeshire,Hartlepool,Medway,London Borough of Barking and Dagenham,Bath and North East Somerset,South Lanarkshire,Outer Hebrides,East Ayrshire,West Sussex,Hertfordshire,Antrim Borough Council,Wrexham,Newry and Mourne District Council,Limavady,East Lothian,Coventry,London Borough of Brent,Wokingham,North Ayrshire,London Borough of Richmond upon Thames,Moray,Castlereagh Borough Council,Hampshire,Brighton & Hove,Anglesey,Northamptonshire,East Renfrewshire,Surrey,Liverpool,City of Bradford,Isles of Scilly,West Dunbartonshire,London Borough of Sutton,London Borough of Ealing,Monmouthshire,Ballymena,Bedfordshire,Scottish Borders,Carmarthenshire,Stoke-on-Trent,York,Thurrock,Craigavon,Stirling,London Borough of Harrow,South Gloucestershire,Wales,Guernsey,Lancashire,Metropolitan Borough of Knowsley,Swindon,West Berkshire,Derby,City of Sunderland,Argyll and Bute,Stockport,North Lanarkshire,City of Leeds,London Borough of Hammersmith and Fulham,London Borough of Lambeth,Metropolitan Borough of Wigan,Bristol,Birmingham,Royal Borough of Kensington and Chelsea,Ceredigion,City of London,County Antrim	Cayman Islands dollar,East Caribbean dollar,UK £,New Zealand dollar,Euro,Bermuda dollar,Saint Helena pound,Falkland Islands pound	Welsh Language,Scottish Gaelic language,English Language			eu,gb,uk	Scottish Gaelic language,English Language,Esperanto Language,Scots Language,Irish,Welsh Language	Parliamentary system,Constitutional monarchy	/m/03k0ds8		44
Abbasid Caliphate	/m/0d7c8				Baghdad											Caliphate			
Paraguay	/m/05v10		PARAGUAY	PA	Asunción				Central Department,Guairá Department,Caaguazú Department,Canindeyú Department,Boquerón Department,Alto Paraguay Department,Cordillera Department,Amambay Department,San Pedro Department,Itapúa Department,Ñeembucú Department,Presidente Hayes Department,Misiones Department,Paraguarí Department,Caazapá Department,Concepción Department,Alto Paraná Department	Paraguayan guaraní,Paraguayan peso	Guaraní language,Spanish Language,Paraguayan Guaraní			py	Ukrainian Language,Spanish Language	Constitutional republic,Republic,Presidential system	/m/0d9dylb		
